"GLACIER_ID","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"G005930E45041N_3323_SMB","-0.9947883","-0.6064953","-0.9277377","-1.2670445","-1.0772586","-0.5052696","-1.9704138","-1.0127261","-0.6283927","-1.1685429","0.4291058","0.3910056","-0.2964826","0.2682784","-0.1153704","-0.3707242","-0.3796377","0.276722","-0.6047471","-1.6515543","-0.5955625","-0.3171566","-1.578686","-1.4171002","-0.733518","-0.7501419","-0.6338184","-0.8250189","0.3318048","-0.3215543","-1.4155037","-1.8679022","-1.0605681","-1.3750508","0.419167","-1.5888981","-3.2765064"
"G005936E45041N_0_SMB","-2.0827446","-1.838228","-2.4110737","-1.8105837","-2.3565028","-1.0736773","-2.4010859","-1.6516584","-1.3818505","-1.9288118","-0.582708","-0.4338493","-1.8009984","-0.5634129","-1.4996459","-2.2514162","-0.9829183","0.0245583","-1.5843513","-2.1798358","-1.763119","-1.3075649","-1.9862473","-1.6733565","-1.8669581","-1.6977086","-1.4709598","-1.6390029","-0.2673153","-1.9118259","-2.3850899","-2.4790406","-1.6253031","-2.2660458","-1.321111","-2.4450951","-3.7334254"
"G005937E44988N_3457_SMB","-0.6557373","-0.2315091","-0.4814193","-0.4129218","-0.4533841","-0.097539","-1.2620349","-0.3659772","-0.3283416","-0.5326917","0.3045801","0.4191879","0.0563065","0.181085","-0.1426409","-0.2082525","-0.3410373","0.3120775","-0.1774899","-0.9961061","-0.1678298","-0.3268512","-0.9001114","-0.7874678","-0.3246807","-0.5782675","-0.5556701","-0.8049456","-0.098784","-0.3154809","-1.4387012","-1.3964875","-1.2592202","-1.4794515","-0.3014566","-0.9005876","-3.1088758"
"G005940E45037N_0_SMB","-0.8377345","-0.2657807","-0.8644148","-1.1033933","-1.0849411","-0.4933056","-1.9362602","-1.093086","-0.3413148","-1.2857096","0.6053706","0.6196376","-0.0232925","0.4756566","0.0743837","-0.1441218","-0.2875664","0.4206859","-0.5192052","-1.6491367","-0.4167558","-0.0282565","-1.6504358","-1.523845","-0.7417032","-0.6896203","-0.6233361","-0.4045068","0.5894288","-0.3141906","-1.028482","-2.0120988","-1.0199502","-1.5795565","0.4477041","-2.0188389","-3.4592314"
"G005941E45033N_0_SMB","-0.9013325","-0.367678","-0.7167498","-1.2417197","-1.0904762","-0.35481","-1.8630362","-1.1419868","-0.4336594","-1.2312384","0.5978624","0.5058798","-0.1677905","0.3949218","0.0205177","-0.2643382","-0.3203929","0.2962601","-0.4762565","-1.5955653","-0.5879725","-0.1433412","-1.5291901","-1.5109673","-0.75337","-0.7145649","-0.5789832","-0.5926213","0.3672375","-0.3003149","-1.2185202","-1.8319366","-1.041657","-1.4177783","0.3743757","-1.7196524","-3.1989222"
"G005943E45040N_0_SMB","-0.9358259","-0.402771","-0.8953908","-1.2283998","-1.2343407","-0.3585044","-1.8449068","-1.1755271","-0.5533562","-1.3217804","0.5267651","0.4253916","-0.3413561","0.3096775","-0.0880459","-0.4127815","-0.3228163","0.2415738","-0.5274778","-1.5873246","-0.7053777","-0.2293889","-1.5119958","-1.4492083","-0.7409035","-0.7171384","-0.6128149","-0.6599714","0.3179684","-0.2288428","-1.1508851","-1.777907","-0.9790763","-1.3552073","0.34097","-1.5041416","-3.0814333"
"G005956E45173N_3550_SMB","-0.2389485","-0.5458071","-0.5497947","-0.482783","-1.4211671","-0.4498892","-0.9475647","-0.6880505","-0.3731285","-1.0887855","0.1611526","0.7516307","0.0158844","0.5834011","0.3189093","0.0477194","-0.078018","0.6341355","-0.1251318","-1.6109946","0.0548624","0.1894761","-1.6685227","-1.2129364","-0.6146646","-0.8227531","-0.520764","-0.4425696","0.9542813","-0.0780113","-0.5918749","-1.1639998","-0.7674814","-0.8307078","0.3680425","-0.8566968","-3.2475445"
"G005985E45171N_3576_SMB","-0.2710773","-0.3675883","-0.3525052","-0.4567086","-1.2472281","-0.4360558","-0.802833","-0.6430057","-0.3132404","-1.0456978","0.2106673","0.7620752","0.0835895","0.6258774","0.338499","0.093464","-0.0769943","0.5671103","-0.0905535","-1.4986758","0.0550161","0.1675203","-1.6410211","-1.2264489","-0.5485724","-0.7918997","-0.4998704","-0.3665631","0.8877981","-0.1051954","-0.5875382","-1.1257881","-0.7718142","-0.9367087","0.1614247","-0.9282879","-3.186599"
"G005990E45176N_0_SMB","-0.4691127","-0.4460596","-0.9371713","-0.792648","-1.4961774","-0.6100015","-1.2915733","-0.9662528","-0.4956729","-1.4600646","0.6083043","0.71392","0.0871296","0.6570108","0.2321981","0.0442004","-0.0680989","0.4956405","-0.3313388","-1.6753067","0.1900999","0.0971257","-1.8825257","-1.6720223","-0.7404325","-1.1621107","-0.602895","-0.3773861","0.8522218","-0.1583816","-0.751247","-1.5741017","-0.9783006","-1.4116825","0.4437548","-1.6591332","-3.6033711"
"G005994E45174N_3404_SMB","-0.3815391","-0.5341793","-0.6095842","-0.7376648","-1.4742256","-0.5141245","-1.1504207","-0.8208287","-0.4237466","-1.2071512","0.3135648","0.6720498","-0.0180611","0.5801899","0.2424913","0.0193308","-0.1004115","0.4521133","-0.4930506","-1.6628153","-0.0096549","0.0682372","-1.8088503","-1.5018727","-0.6631585","-0.9765805","-0.5773301","-0.3944737","0.7791258","-0.1674511","-0.767329","-1.3912888","-0.9750764","-1.2647854","0.2992832","-1.2616839","-3.404712"
"G006028E44984N_0_SMB","-0.7016906","0.1574399","-0.46435","-0.8776435","-0.9598057","-0.1871002","-1.3933249","-1.00837","-0.4740874","-1.1141237","0.2987583","0.4868458","-0.3991189","0.2380729","-0.0697522","-0.1904054","-0.3280757","0.5717958","-0.5126573","-1.3495684","-0.5310646","-0.1123861","-1.3837503","-1.0773641","-0.8228362","-0.6735015","-0.5755842","-0.3299767","0.4200625","-0.1797058","-0.6626891","-1.5204788","-0.9368013","-1.0577543","0.6050075","-0.6605488","-2.5531991"
"G006033E44983N_0_SMB","-0.7920501","0.1310099","-0.8190348","-0.9238294","-1.0339386","-0.2021871","-1.7647353","-1.2809999","0.1452396","-1.2672117","0.5343467","0.6906765","-0.3339848","0.4915789","0.0987767","-0.145232","-0.2770504","0.6643668","-0.6253409","-1.5108132","-0.5520927","0.0879067","-1.5090743","-1.6699287","-0.9026661","-0.8125092","-0.634241","-0.4351003","0.5691505","-1.122736","-1.4825436","-1.9171478","-1.2183738","-1.5401428","0.4996059","-1.9766682","-3.2912555"
"G006033E44983N_3762_SMB","-0.8063796","0.1250776","-0.5887234","-0.9197649","-0.9750661","-0.2191072","-1.6862925","-1.2375518","0.0526378","-1.2769434","0.4944597","0.6294527","-0.2647266","0.4463687","0.06775","-0.1052165","-0.3772101","0.605013","-0.7010953","-1.446659","-0.4718451","0.0769749","-1.5699461","-1.5390019","-0.8807067","-0.7226343","-0.6160004","-0.2943514","0.5629982","-0.4077452","-0.8716033","-1.704639","-1.0226603","-1.2133534","0.7091212","-1.3092008","-2.8299375"
"G006072E44940N_3379_SMB","-0.5669799","-0.1296739","-0.5547845","-0.6641361","-0.7656812","-0.3376183","-1.4043403","-0.7442029","-0.462956","-0.9742162","0.3042554","0.4811561","-0.1027543","0.2908273","0.0495145","-0.1694257","-0.2240394","0.3188807","-0.2889766","-1.453218","-0.357836","-0.1062558","-1.3600402","-0.9909067","-0.6538075","-0.5787616","-0.5669348","-0.4436967","0.4812315","-0.1185821","-0.7951922","-1.6262431","-0.8084217","-1.1286316","0.3479693","-1.2293446","-2.9632435"
"G006079E44949N_3455_SMB","-0.6073752","0.2569802","-0.3470446","-0.511292","-0.7434291","-0.1124336","-1.369241","-0.8417659","-0.3762816","-1.0473876","0.3797902","0.5521284","-0.1844759","0.2539106","0.0566221","-0.2014121","-0.1995557","0.306613","-0.3812114","-1.2832806","-0.4602476","-0.0419062","-1.2620866","-0.9707341","-0.6783743","-0.5399538","-0.5338424","-0.4602844","0.4682529","0.022157","-0.5677093","-1.5263975","-0.755558","-1.0634936","0.357482","-1.1098444","-2.7735424"
"G006080E44941N_3807_SMB","-1.0813856","-0.5337423","-1.039726","-1.2655342","-1.2869078","-0.2589445","-1.7535567","-1.2407129","-0.7220615","-1.3024992","0.2140011","0.2245281","-0.7110615","0.0908861","-0.3075318","-0.4626101","-0.3597148","0.3582438","-0.6008244","-1.4581175","-0.7924535","-0.2421807","-1.465497","-1.2586232","-0.8432523","-0.8956255","-0.6003587","-0.4025529","0.2835612","-0.3368291","-0.8893613","-1.585768","-0.9467466","-1.0847428","0.7901429","-0.6724756","-2.5824385"
"G006080E44941N_3808_SMB","-0.560174","0.0363023","-0.2159166","-0.7890688","-0.541592","-0.0115812","-1.3111237","-0.8021842","-0.1823919","-0.7400736","0.613315","0.6579486","0.021429","0.4715052","0.2125875","0.017765","-0.2016413","0.4088702","-0.3301493","-1.3202195","-0.3946417","0.1281563","-1.1455326","-1.2876781","-0.5381281","-0.5574844","-0.5370101","-0.3084669","0.4779993","-0.3233724","-1.0411892","-1.5071179","-0.9533769","-1.2553535","0.6359951","-1.2344682","-2.9586074"
"G006084E44937N_3394_SMB","-0.7201353","-0.1581226","-0.727723","-1.0234827","-0.9005705","-0.3536633","-1.6570423","-0.942879","-0.4620836","-1.1037004","0.5218771","0.4430187","-0.1220964","0.2585242","-0.0820157","-0.2914852","-0.1800286","0.2584703","-0.3952245","-1.5050056","-0.5215944","-0.1099701","-1.4205589","-1.1043093","-0.6338941","-0.759779","-0.6293128","-0.4544903","0.4015095","-0.1137599","-0.7957261","-1.6960497","-0.8660108","-1.3515642","0.5481306","-1.4249914","-3.0478208"
"G006101E44936N_3366_SMB","-0.6716058","0.1226191","-0.4491381","-0.734971","-0.9007488","-0.2505635","-1.5196401","-0.907081","-0.3930442","-1.1438465","0.4089664","0.5287688","-0.1658268","0.3282225","0.0615973","-0.2093834","-0.2295583","0.2784691","-0.3447467","-1.3433187","-0.4147272","-0.0393113","-1.2823253","-1.1657391","-0.6661502","-0.5348822","-0.5711935","-0.5336727","0.4933055","-0.0981781","-0.8084167","-1.5812926","-0.8198562","-1.1687801","0.3554583","-1.3091394","-2.9327354"
"G006103E45239N_0_2_SMB","-0.4502248","-0.9583467","-1.2065006","-0.8034947","-1.8510352","-0.7588582","-1.366034","-1.1348578","-0.5460923","-1.6725645","0.17271","0.6744179","-0.2416292","0.6085669","0.2760641","-0.0981779","-0.1082991","0.5647631","-0.3685207","-1.8415709","0.2125876","-0.0770867","-1.886703","-1.8326601","-0.8611035","-1.1046419","-0.6929904","-0.6609086","0.9722721","-0.2111914","-0.8270774","-1.6275153","-0.8495308","-0.9367541","0.1802743","-1.6598957","-3.457984"
